id_item,id_transaction,id_product,quantity
130,198,27,9.0
131,32,32,8.0
132,71,3,5.0
133,248,5,7.0
134,163,15,8.0
135,287,25,9.0
136,127,40,6.0
137,232,33,10.0
138,212,44,1.0
139,7,23,7.0
140,284,50,6.0
141,272,38,1.0
142,217,43,5.0
143,190,46,9.0
144,70,1,4.0
145,253,16,5.0
146,92,41,5.0
147,106,45,7.0
148,104,14,10.0
149,138,24,8.0
150,127,14,6.0
151,89,29,5.0
152,209,41,3.0
153,249,44,2.0
154,220,33,9.0
155,288,28,7.0
156,65,25,8.0
157,107,4,5.0
158,281,48,5.0
159,3,17,5.0
160,37,8,
161,30,31,8.0
162,100,11,2.0
163,19,49,8.0
164,214,34,3.0
165,92,40,1.0
166,211,50,7.0
167,73,25,3.0
168,96,14,1.0
169,174,18,8.0
170,132,46,2.0
171,224,32,8.0
172,192,34,1.0
173,239,25,5.0
174,245,50,6.0
175,283,22,2.0
176,144,2,6.0
177,204,27,8.0
178,221,38,6.0
179,50,24,1.0
180,233,37,1.0
181,198,34,2.0
182,261,11,2.0
183,106,26,4.0
184,266,43,1.0
185,16,14,3.0
186,17,26,8.0
187,42,31,5.0
188,293,20,3.0
189,27,16,2.0
190,72,17,5.0
191,72,24,6.0
192,172,47,1.0
193,257,6,1.0
194,290,24,10.0
195,176,30,9.0
196,51,38,10.0
197,270,7,1.0
198,166,25,3.0
199,73,45,6.0
200,171,4,
201,295,15,10.0
202,184,38,4.0
203,55,1,9.0
204,191,45,6.0
205,23,14,10.0
206,115,19,10.0
207,289,1,5.0
208,239,3,8.0
209,3,40,8.0
210,1,32,2.0
211,227,30,2.0
212,26,4,4.0
213,74,1,5.0
214,195,15,3.0
215,66,6,1.0
216,72,44,7.0
217,227,5,6.0
218,16,32,4.0
219,4,38,7.0
220,208,12,1.0
221,183,24,4.0
222,123,48,9.0
223,23,43,10.0
224,200,36,3.0
225,147,44,7.0
226,185,12,6.0
227,11,23,5.0
228,238,6,4.0
229,6,23,7.0
230,191,16,4.0
231,131,48,6.0
232,188,46,7.0
233,91,45,1.0
234,205,1,10.0
235,129,21,10.0
236,126,13,1.0
237,155,8,5.0
238,223,28,9.0
239,52,46,1.0
240,108,9,
241,100,33,2.0
242,92,18,7.0
243,53,39,9.0
244,138,49,10.0
245,101,37,6.0
246,59,36,2.0
247,141,43,7.0
248,1,47,4.0
249,298,17,1.0
250,22,9,3.0
251,295,42,5.0
252,274,17,2.0
253,155,40,3.0
254,38,50,3.0
255,5,29,8.0
256,168,14,10.0
257,210,32,2.0
258,265,36,9.0
259,198,26,7.0
260,24,40,10.0
261,152,40,2.0
262,235,37,9.0
263,201,1,9.0
264,66,5,7.0
265,293,38,6.0
266,20,47,1.0
267,138,6,9.0
268,199,18,6.0
269,127,37,10.0
270,40,37,10.0
271,288,34,8.0
272,106,31,5.0
273,294,27,7.0
274,161,45,8.0
275,250,44,3.0
276,15,21,10.0
277,32,19,10.0
278,281,6,1.0
279,242,33,5.0
280,172,14,
281,87,26,5.0
282,87,34,7.0
283,117,43,4.0
284,88,18,2.0
285,86,36,1.0
286,300,49,9.0
287,2,27,8.0
288,178,9,8.0
289,280,31,9.0
290,283,46,4.0
291,32,43,1.0
292,145,20,7.0
293,41,28,7.0
294,14,29,6.0
295,44,45,3.0
296,220,1,6.0
297,218,43,3.0
298,73,15,7.0
299,154,36,10.0
300,68,41,1.0
301,54,26,1.0
302,129,33,2.0
303,164,26,7.0
304,44,3,10.0
305,1,34,3.0
306,70,34,4.0
307,21,32,6.0
308,88,39,5.0
309,258,22,4.0
310,97,4,10.0
311,182,13,6.0
312,73,3,2.0
313,240,30,7.0
314,126,40,6.0
315,287,23,5.0
316,141,13,6.0
317,7,10,1.0
318,253,39,9.0
319,214,27,10.0
320,176,16,
321,292,23,5.0
322,300,18,4.0
323,95,4,4.0
324,30,33,7.0
325,85,40,6.0
326,93,6,7.0
327,153,24,3.0
328,112,46,3.0
329,152,40,8.0
330,207,30,1.0
331,280,23,2.0
332,168,25,7.0
333,74,15,5.0
334,173,29,9.0
335,238,5,10.0
336,68,23,4.0
337,219,24,3.0
338,170,6,4.0
339,282,12,8.0
340,44,31,9.0
341,16,21,2.0
342,181,26,1.0
343,200,32,10.0
344,257,7,7.0
345,111,13,3.0
346,262,40,2.0
347,147,30,10.0
348,97,17,5.0
349,46,42,3.0
350,16,35,8.0
351,213,49,3.0
352,127,21,8.0
353,133,36,4.0
354,25,26,5.0
355,191,7,3.0
356,214,3,9.0
357,115,47,8.0
358,94,49,3.0
359,139,1,7.0
360,91,34,
361,199,37,9.0
362,228,14,4.0
363,187,23,6.0
364,49,41,9.0
365,24,27,4.0
366,159,39,3.0
367,73,17,7.0
368,222,23,9.0
369,92,13,5.0
370,134,24,10.0
371,132,26,1.0
372,119,30,6.0
373,215,2,6.0
374,221,17,8.0
375,237,35,5.0
376,80,17,1.0
377,250,43,4.0
378,162,9,8.0
379,170,50,4.0
380,12,50,2.0
381,159,46,3.0
382,18,46,3.0
383,290,17,2.0
384,165,1,5.0
385,272,38,7.0
386,172,3,9.0
387,50,49,2.0
388,50,26,4.0
389,39,36,1.0
390,201,27,5.0
391,148,48,2.0
392,77,43,10.0
393,182,42,7.0
394,220,12,2.0
395,203,3,6.0
396,192,39,8.0
397,287,38,1.0
398,193,48,10.0
399,104,17,10.0
400,121,15,
401,49,38,4.0
402,12,40,5.0
403,166,34,4.0
404,119,6,2.0
405,123,7,7.0
406,58,11,4.0
407,298,29,4.0
408,226,29,5.0
409,33,6,9.0
410,273,24,10.0
411,244,4,9.0
412,236,37,7.0
413,150,42,8.0
414,257,37,5.0
415,25,26,7.0
416,190,48,3.0
417,190,43,2.0
418,50,14,5.0
419,38,6,5.0
420,114,40,4.0
421,227,43,4.0
422,11,24,9.0
423,36,30,5.0
424,82,9,3.0
425,18,23,7.0
426,76,36,4.0
427,57,10,3.0
428,31,33,7.0
429,7,8,7.0
430,216,17,7.0
431,147,47,9.0
432,60,33,4.0
433,76,45,5.0
434,24,45,3.0
435,138,20,5.0
436,101,37,5.0
437,118,27,2.0
438,68,39,6.0
439,26,32,6.0
440,70,28,
441,294,12,5.0
442,202,32,9.0
443,75,14,9.0
444,259,41,3.0
445,197,44,1.0
446,86,3,4.0
447,96,8,3.0
448,196,8,6.0
449,14,3,10.0
450,278,35,4.0
451,89,29,8.0
452,136,21,9.0
453,216,5,3.0
454,120,25,9.0
455,138,42,9.0
456,109,24,6.0
457,262,5,7.0
458,18,41,10.0
459,229,40,6.0
460,45,45,8.0
461,32,10,8.0
462,212,36,10.0
463,53,49,4.0
464,26,37,5.0
465,150,16,10.0
466,4,37,1.0
467,86,50,9.0
468,163,3,7.0
469,205,21,2.0
470,27,21,3.0
471,29,2,1.0
472,211,37,8.0
473,55,32,3.0
474,194,17,7.0
475,280,26,7.0
476,12,24,6.0
477,28,48,10.0
478,177,24,9.0
479,13,46,5.0
480,244,3,
481,7,43,2.0
482,242,45,5.0
483,286,3,9.0
484,56,15,3.0
485,186,45,5.0
486,277,23,1.0
487,98,31,6.0
488,191,4,7.0
489,126,20,5.0
490,52,27,6.0
491,14,12,10.0
492,269,43,4.0
493,98,10,8.0
494,94,35,2.0
495,48,50,6.0
496,272,11,7.0
497,259,36,9.0
498,48,27,3.0
499,91,31,8.0
500,275,23,8.0
501,245,8,6.0
502,171,1,4.0
503,11,36,1.0
504,279,36,9.0
505,289,46,8.0
506,64,21,4.0
507,201,21,3.0
508,147,3,3.0
509,188,7,1.0
510,158,8,4.0
511,112,19,8.0
512,175,36,4.0
513,111,33,4.0
514,138,40,5.0
515,239,3,1.0
516,234,20,4.0
517,229,29,4.0
518,107,46,2.0
519,17,9,1.0
520,79,36,
521,93,23,10.0
522,34,49,4.0
523,141,4,9.0
524,159,7,8.0
525,277,50,6.0
526,170,15,8.0
527,69,5,4.0
528,161,48,3.0
529,47,49,3.0
530,78,39,4.0
531,226,17,4.0
532,2,16,7.0
533,143,17,2.0
534,62,40,7.0
535,149,24,3.0
536,282,6,3.0
537,33,22,1.0
538,79,29,10.0
539,222,6,4.0
540,60,41,7.0
541,173,20,3.0
542,32,6,9.0
543,201,37,10.0
544,101,6,10.0
545,249,20,3.0
546,88,40,7.0
547,276,3,5.0
548,158,15,3.0
549,122,18,4.0
550,272,28,6.0
551,288,20,2.0
552,91,26,5.0
553,279,3,4.0
554,45,45,10.0
555,247,26,5.0
556,239,16,4.0
557,11,12,3.0
558,173,2,3.0
559,280,22,8.0
560,221,3,
561,236,14,3.0
562,97,37,2.0
563,199,44,4.0
564,70,10,4.0
565,277,22,3.0
566,17,28,1.0
567,151,32,5.0
568,161,8,5.0
569,138,38,4.0
570,72,17,5.0
571,287,11,7.0
572,11,37,10.0
573,107,12,3.0
574,147,38,9.0
575,214,50,6.0
576,265,48,10.0
577,74,11,6.0
578,121,32,4.0
579,24,28,6.0
580,162,26,3.0
581,20,18,9.0
582,202,38,2.0
583,45,39,5.0
584,37,47,1.0
585,8,32,4.0
586,9,7,8.0
587,130,32,2.0
588,64,16,6.0
589,237,37,9.0
590,7,36,3.0
591,70,19,6.0
592,40,5,4.0
593,244,23,4.0
594,249,18,8.0
595,208,31,10.0
596,250,26,2.0
597,260,9,8.0
598,185,23,10.0
599,166,21,8.0
600,168,11,
