id_transaction,id_customer,id_branch,tanggal_transaksi,total_bayar
160,58.0,Jakarta,2023-04-01,106499
161,68.0,Surabaya,2023-04-28,139237
162,77.0,Surabaya,2023-11-23,221663
163,85.0,Medan,2023-05-20,192462
164,135.0,Surabaya,2023-08-17,93563
165,105.0,Medan,2023-03-26,94734
166,54.0,Medan,2023-09-09,252232
167,144.0,Medan,2023-05-31,123108
168,141.0,Jakarta,2023-01-24,178635
169,24.0,Bandung,2023-05-26,42495
170,43.0,Surabaya,2023-11-09,284272
171,11.0,Medan,2023-06-06,71549
172,39.0,Medan,2023-05-13,217301
173,144.0,Medan,2023-05-15,136486
174,117.0,Medan,2023-09-16,255376
175,,Bandung,2023-08-19,79411
176,37.0,Bandung,2023-05-12,245465
177,28.0,Bandung,2023-08-07,263745
178,22.0,Surabaya,2023-07-27,117677
179,104.0,Bandung,2023-09-04,135165
180,62.0,Bandung,2023-04-16,89208
181,92.0,Medan,2023-01-31,127275
182,10.0,Jakarta,2023-10-29,143155
183,88.0,Medan,2023-03-17,151686
184,69.0,Surabaya,2023-03-05,47647
185,144.0,Surabaya,2023-03-20,145769
186,114.0,Bandung,2023-09-07,67834
187,90.0,Surabaya,2023-09-07,32718
188,54.0,Jakarta,2023-01-11,114028
189,145.0,Surabaya,2023-04-06,104790
190,40.0,Bandung,2023-03-11,203092
191,138.0,Bandung,2023-06-13,165846
192,20.0,Medan,2023-11-13,170860
193,119.0,Surabaya,2023-03-23,84623
194,60.0,Jakarta,2023-02-14,274273
195,70.0,Medan,2023-07-23,288516
196,15.0,Jakarta,2023-06-16,170938
197,82.0,Surabaya,2023-05-18,178824
198,34.0,Medan,2023-10-27,292256
199,38.0,Jakarta,2023-02-08,229610
200,,Jakarta,2023-01-26,290687
201,133.0,Jakarta,2023-07-13,50001
202,96.0,Bandung,2023-08-27,228005
203,150.0,Bandung,2023-09-02,137518
204,138.0,Bandung,2023-10-17,209676
205,149.0,Medan,2023-03-08,218892
206,146.0,Bandung,2023-09-14,230000
207,11.0,Surabaya,2023-11-24,70265
208,4.0,Surabaya,2023-07-15,178481
209,90.0,Surabaya,2023-01-10,89760
210,132.0,Jakarta,2023-06-19,297701
211,113.0,Surabaya,2023-10-26,43583
212,20.0,Jakarta,2023-01-12,59219
213,27.0,Surabaya,2023-04-19,23944
214,111.0,Surabaya,2023-11-28,230380
215,103.0,Jakarta,2023-01-12,130478
216,85.0,Medan,2023-05-26,39765
217,52.0,Jakarta,2023-09-28,95415
218,33.0,Jakarta,2023-06-18,203983
219,112.0,Bandung,2023-04-03,186911
220,2.0,Surabaya,2023-11-27,32707
221,44.0,Surabaya,2023-04-01,65788
222,121.0,Bandung,2023-09-30,268848
223,8.0,Surabaya,2023-07-18,299343
224,81.0,Surabaya,2023-12-14,147289
225,,Jakarta,2023-07-13,135549
226,146.0,Jakarta,2023-09-05,162479
227,140.0,Surabaya,2023-03-24,84788
228,80.0,Medan,2023-08-16,247409
229,48.0,Bandung,2023-04-20,138494
230,4.0,Surabaya,2023-11-16,266868
231,42.0,Medan,2023-06-04,247528
232,54.0,Bandung,2023-12-05,109480
233,147.0,Bandung,2023-02-28,185018
234,21.0,Medan,2023-05-14,228518
235,118.0,Bandung,2023-05-10,78271
236,143.0,Medan,2023-04-30,26615
237,78.0,Medan,2023-12-20,179241
238,59.0,Surabaya,2023-07-06,178562
239,16.0,Jakarta,2023-07-18,176861
240,4.0,Medan,2023-05-08,61267
241,120.0,Surabaya,2023-06-22,299047
242,53.0,Surabaya,2023-07-11,260966
243,56.0,Jakarta,2023-02-17,81772
244,33.0,Surabaya,2023-10-09,286086
245,127.0,Surabaya,2023-08-21,65533
246,30.0,Bandung,2023-07-23,258313
247,115.0,Bandung,2023-05-12,95274
248,13.0,Medan,2023-11-16,190720
249,28.0,Bandung,2023-10-25,280710
250,,Medan,2023-10-30,114251
251,97.0,Medan,2023-05-28,291700
252,103.0,Surabaya,2023-11-29,293527
253,145.0,Jakarta,2023-07-22,161995
254,20.0,Bandung,2023-01-30,45967
255,120.0,Jakarta,2023-02-02,150313
256,141.0,Jakarta,2023-12-21,45189
257,78.0,Jakarta,2023-11-17,277131
258,44.0,Medan,2023-02-08,86049
259,40.0,Jakarta,2023-04-29,187468
260,73.0,Medan,2023-10-26,226010
261,60.0,Bandung,2023-01-21,203302
262,120.0,Medan,2023-11-22,53398
263,79.0,Surabaya,2023-08-21,178531
264,57.0,Jakarta,2023-01-11,73191
265,39.0,Bandung,2023-04-26,119637
266,60.0,Surabaya,2023-02-04,56594
267,19.0,Medan,2023-03-12,117031
268,111.0,Bandung,2023-11-30,279237
269,30.0,Surabaya,2023-05-25,50594
270,36.0,Jakarta,2023-01-07,131631
271,64.0,Surabaya,2023-08-31,154640
272,91.0,Jakarta,2023-03-20,36935
273,83.0,Surabaya,2023-10-13,263571
274,98.0,Surabaya,2023-01-12,49212
275,,Medan,2023-10-27,146307
276,148.0,Medan,2023-09-13,56647
277,51.0,Bandung,2023-05-22,46227
278,116.0,Medan,2023-06-09,276581
279,23.0,Bandung,2023-04-01,73703
280,40.0,Bandung,2023-03-17,124891
281,54.0,Jakarta,2023-09-14,82380
282,74.0,Surabaya,2023-09-22,87704
283,147.0,Surabaya,2023-02-10,66591
284,136.0,Bandung,2023-08-16,152164
285,55.0,Bandung,2023-09-29,223801
286,54.0,Jakarta,2023-08-22,170120
287,121.0,Medan,2023-09-19,166571
288,114.0,Jakarta,2023-02-11,81671
289,104.0,Medan,2023-03-28,32218
290,7.0,Surabaya,2023-03-02,247929
291,131.0,Surabaya,2023-08-16,247948
292,85.0,Surabaya,2023-11-06,23250
293,102.0,Medan,2023-03-27,57112
294,145.0,Bandung,2023-03-13,240461
295,78.0,Jakarta,2023-04-21,63872
296,71.0,Jakarta,2023-10-22,89552
297,75.0,Surabaya,2023-01-06,240615
298,3.0,Jakarta,2023-07-07,238068
299,4.0,Surabaya,2023-07-25,188098
300,,Bandung,2023-03-16,162212
