id_transaction,id_customer,tanggal_transaksi,metode
126,30.0,2023-02-05,Card
127,73.0,2023-02-05,Card
128,18.0,2023-08-14,Card
129,126.0,2022-01-21,Cash
130,60.0,2022-06-15,Cash
131,123.0,2023-11-17,Cash
132,124.0,2022-02-17,Cash
133,146.0,2023-10-15,Cash
134,66.0,2023-05-13,Card
135,138.0,2022-03-16,Card
136,55.0,2023-12-23,Unknown
137,58.0,2022-10-05,Card
138,110.0,2023-02-12,Card
139,150.0,2022-01-07,E-Wallet
140,89.0,2022-02-26,Card
141,55.0,2022-07-19,Cash
142,61.0,2022-07-11,Card
143,87.0,2022-12-09,E-Wallet
144,55.0,2022-02-03,Card
145,86.0,2022-07-18,Card
146,119.0,2023-07-01,Card
147,82.0,2023-07-06,E-Wallet
148,37.0,2023-04-20,E-Wallet
149,18.0,2022-03-26,Cash
150,,2022-02-27,Cash
151,61.0,2023-01-23,Cash
152,94.0,2022-01-23,Card
153,83.0,2023-11-25,Unknown
154,42.0,2022-02-20,E-Wallet
155,115.0,2023-08-14,Card
156,6.0,2022-06-06,Cash
157,144.0,2023-04-24,Cash
158,141.0,2023-08-16,Card
159,117.0,2022-09-28,Card
160,93.0,2022-06-08,Cash
161,44.0,2022-01-16,Cash
162,148.0,2023-12-09,Card
163,100.0,2022-01-11,E-Wallet
164,77.0,2022-11-27,Card
165,149.0,2023-07-14,E-Wallet
166,136.0,2022-06-11,Card
167,58.0,2022-04-20,E-Wallet
168,116.0,2023-03-29,Card
169,7.0,2023-09-25,Card
170,85.0,2023-02-22,Unknown
171,87.0,2022-11-23,E-Wallet
172,14.0,2022-05-27,Card
173,74.0,2022-02-03,Card
174,41.0,2023-03-08,Card
175,,2023-07-28,E-Wallet
176,63.0,2023-02-16,Cash
177,44.0,2022-10-25,Card
178,80.0,2023-09-13,E-Wallet
179,4.0,2022-01-26,Card
180,111.0,2023-12-24,Cash
181,52.0,2022-11-09,Card
182,131.0,2022-02-11,Card
183,63.0,2022-10-05,Cash
184,63.0,2022-11-11,Card
185,48.0,2022-09-18,Card
186,27.0,2022-08-02,Card
187,77.0,2023-04-23,Unknown
188,88.0,2023-10-02,Cash
189,87.0,2023-04-12,Card
190,134.0,2023-03-29,E-Wallet
191,93.0,2023-05-29,Card
192,60.0,2022-02-23,Cash
193,96.0,2023-02-04,Cash
194,134.0,2022-04-18,Cash
195,41.0,2022-11-24,Card
196,143.0,2022-03-27,Card
197,83.0,2022-03-04,Card
198,85.0,2022-03-30,E-Wallet
199,76.0,2022-02-20,Cash
200,,2022-10-06,Card
201,123.0,2022-08-25,E-Wallet
202,101.0,2022-07-11,Cash
203,117.0,2023-09-03,E-Wallet
204,49.0,2022-09-22,Unknown
205,79.0,2022-02-18,E-Wallet
206,141.0,2023-09-27,Card
207,94.0,2023-10-07,E-Wallet
208,110.0,2022-04-11,E-Wallet
209,115.0,2022-01-27,Card
210,27.0,2023-10-20,Cash
211,54.0,2023-06-30,Cash
212,99.0,2023-05-01,Cash
213,20.0,2022-09-05,Cash
214,135.0,2023-01-25,Card
215,1.0,2023-09-23,Card
216,112.0,2022-01-19,Card
217,27.0,2022-09-19,Card
218,41.0,2022-04-04,E-Wallet
219,127.0,2022-12-13,Card
220,136.0,2023-12-28,E-Wallet
221,100.0,2023-09-27,Unknown
222,58.0,2023-10-09,Card
223,136.0,2022-03-11,Cash
224,42.0,2022-12-24,Card
225,,2022-11-14,E-Wallet
226,104.0,2023-05-23,Card
227,77.0,2022-06-02,Card
228,100.0,2022-07-26,Cash
229,17.0,2023-08-04,E-Wallet
230,132.0,2023-10-29,Card
231,45.0,2022-03-10,Cash
232,24.0,2022-02-22,Card
233,144.0,2022-11-09,Card
234,97.0,2022-07-20,E-Wallet
235,5.0,2023-08-03,Cash
236,23.0,2022-04-14,Card
237,24.0,2022-03-17,Card
238,85.0,2022-04-17,Unknown
239,14.0,2023-04-05,Card
240,86.0,2022-07-25,Card
241,131.0,2022-10-10,Cash
242,103.0,2022-02-10,E-Wallet
243,42.0,2023-09-28,Cash
244,134.0,2023-08-30,E-Wallet
245,2.0,2023-12-11,E-Wallet
246,2.0,2023-08-26,Cash
247,13.0,2022-02-02,Card
248,128.0,2022-12-29,E-Wallet
249,22.0,2023-11-23,Cash
250,,2022-02-11,Cash
251,23.0,2023-02-26,Cash
252,142.0,2022-08-23,Cash
253,27.0,2022-04-08,Cash
254,40.0,2023-04-07,Cash
255,22.0,2022-03-07,Unknown
256,115.0,2022-06-10,Cash
257,54.0,2023-10-15,E-Wallet
258,118.0,2023-08-06,Cash
259,68.0,2022-08-28,Card
260,3.0,2022-06-15,Card
261,29.0,2023-09-15,E-Wallet
262,5.0,2023-03-15,Card
263,129.0,2023-02-19,Cash
264,123.0,2022-04-07,Cash
265,45.0,2023-02-21,E-Wallet
266,150.0,2022-07-11,Card
267,37.0,2022-05-04,E-Wallet
268,55.0,2022-01-27,E-Wallet
269,110.0,2022-06-27,Card
270,120.0,2022-02-18,E-Wallet
271,9.0,2023-12-06,E-Wallet
272,117.0,2023-04-01,Unknown
273,64.0,2022-07-28,Cash
274,62.0,2023-08-07,E-Wallet
275,,2022-07-29,E-Wallet
276,50.0,2022-08-11,Cash
277,116.0,2023-10-26,Card
278,29.0,2022-11-09,E-Wallet
279,62.0,2022-03-02,Card
280,121.0,2023-06-16,E-Wallet
281,122.0,2023-07-29,Cash
282,35.0,2022-05-17,Card
283,123.0,2023-09-02,Cash
284,95.0,2022-04-22,Cash
285,22.0,2022-02-06,E-Wallet
286,28.0,2023-10-12,Card
287,8.0,2022-11-16,E-Wallet
288,103.0,2023-12-23,E-Wallet
289,143.0,2023-01-06,Unknown
290,74.0,2023-05-05,Card
291,101.0,2022-11-22,E-Wallet
292,134.0,2023-05-13,E-Wallet
293,131.0,2022-03-27,Cash
294,132.0,2022-12-22,Card
295,28.0,2022-07-02,Card
296,110.0,2022-09-16,Card
297,100.0,2023-01-17,Card
298,56.0,2022-01-24,E-Wallet
299,110.0,2023-02-22,Card
300,,2022-09-27,E-Wallet
