id_order,id_driver,id_customer,tanggal,jarak_km,durasi_menit,tarif
299,6,93.0,2023-03-23,1.72,7,9800
300,6,82.0,2023-07-24,5.46,23,21100
301,6,97.0,2023-02-13,7.16,17,26600
302,6,87.0,2023-04-05,6.36,31,24500
303,6,195.0,2023-08-26,6.87,28,26100
304,6,132.0,2023-07-16,6.65,22,24600
305,6,148.0,2023-08-04,7.69,31,27600
306,6,136.0,2023-04-18,6.51,20,24200
307,6,135.0,2023-06-09,8.86,38,32000
308,6,37.0,2023-06-20,8.83,41,31900
309,6,13.0,2023-09-10,7.71,24,28400
310,6,91.0,2023-09-16,8.55,29,31000
311,6,90.0,2023-05-14,3.87,10,17000
312,6,192.0,2023-01-07,3.94,11,16900
313,6,86.0,2023-02-19,5.27,16,21100
314,6,47.0,2023-11-14,3.92,12,17100
315,6,193.0,2023-08-02,8.08,35,29400
316,6,137.0,2023-09-10,3.46,7,15600
317,6,30.0,2023-04-25,1.84,8,10400
318,6,138.0,2023-05-05,2.14,8,11900
319,6,164.0,2023-05-17,2.43,7,12700
320,7,161.0,2023-01-14,2.85,13,14000
321,7,45.0,2023-10-31,2.06,5,11100
322,7,120.0,2023-10-18,8.71,19,31200
323,7,58.0,2023-05-26,6.02,14,23400
324,7,141.0,2023-01-28,6.7,31,24700
325,7,196.0,2023-09-28,5.27,19,21300
326,7,150.0,2023-11-17,5.32,24,21000
327,7,11.0,2023-09-06,5.33,15,20700
328,7,4.0,2023-06-09,7.83,19,28400
329,7,31.0,2023-07-29,3.96,15,17200
330,7,154.0,2023-01-15,1.45,3,9000
331,7,181.0,2023-08-06,2.71,13,12700
332,7,151.0,2023-08-10,2.26,6,11700
333,7,172.0,2023-05-10,6.86,29,25300
334,7,56.0,2023-12-26,4.34,16,18400
335,7,87.0,2023-02-28,1.74,6,10300
336,7,118.0,2023-08-10,2.25,9,12100
337,7,168.0,2023-06-28,5.53,11,21000
338,7,82.0,2023-08-16,5.96,28,22900
339,7,125.0,2023-08-18,7.81,18,28800
340,7,111.0,2023-12-12,2.16,5,11200
341,7,158.0,2023-07-08,4.85,11,19400
342,7,124.0,2023-10-16,5.67,14,22300
343,7,85.0,2023-07-21,9.57,44,33600
344,7,,2023-08-25,1.83,7,10000
345,7,187.0,2023-12-12,7.63,19,28200
346,7,5.0,2023-04-28,8.94,44,31700
347,7,135.0,2023-02-01,7.39,14,27500
348,7,96.0,2023-01-24,1.59,7,9600
349,7,145.0,2023-03-21,4.66,20,18900
350,7,,2023-04-17,3.89,8,16300
351,7,145.0,2023-04-09,5.87,13,22100
352,7,153.0,2023-11-27,9.01,22,32400
353,7,91.0,2023-08-25,7.53,20,27300
354,7,15.0,2023-05-07,7.23,31,26300
355,7,143.0,2023-02-12,8.1,37,29100
356,7,121.0,2023-02-02,4.77,13,18800
357,7,94.0,2023-09-20,9.68,30,34100
358,7,140.0,2023-09-07,9.7,35,33600
359,7,,2023-03-10,3.44,8,15200
360,7,69.0,2023-10-28,1.09,2,8200
361,7,127.0,2023-09-02,6.99,15,25700
362,7,31.0,2023-10-24,8.42,20,30300
363,7,120.0,2023-06-15,8.92,24,31200
364,7,24.0,2023-02-02,8.59,19,30500
365,7,155.0,2023-11-03,2.84,12,13400
366,7,4.0,2023-06-08,8.51,24,30500
367,7,90.0,2023-04-27,7.19,20,26800
368,7,92.0,2023-06-03,9.23,38,32900
369,7,16.0,2023-09-22,2.87,6,14100
370,7,84.0,2023-01-03,8.67,28,31000
371,7,137.0,2023-09-01,9.67,23,33500
372,7,147.0,2023-05-12,4.97,14,19600
373,7,31.0,2023-04-08,6.53,13,24000
374,7,161.0,2023-09-21,2.34,7,12200
375,8,,2023-10-21,3.14,8,14800
376,8,13.0,2023-02-13,8.22,32,29800
377,8,65.0,2023-02-26,1.91,4,11000
378,8,121.0,2023-03-21,6.46,32,24300
379,8,161.0,2023-03-31,1.23,2,9100
380,8,60.0,2023-11-03,4.46,17,18200
381,8,121.0,2023-10-10,9.03,23,32400
382,8,53.0,2023-06-10,8.07,25,29000
383,8,116.0,2023-09-22,3.64,11,15600
384,8,178.0,2023-01-16,9.33,44,32400
385,8,8.0,2023-01-10,2.76,10,13500
386,8,86.0,2023-11-18,8.12,21,29600
387,8,9.0,2023-04-12,8.55,19,30800
388,8,32.0,2023-06-01,5.67,17,22300
389,8,59.0,2023-08-23,8.95,26,32000
390,8,178.0,2023-03-18,5.49,18,21600
391,8,99.0,2023-04-07,9.48,31,33800
392,8,5.0,2023-07-14,7.66,36,27800
393,8,169.0,2023-06-09,9.14,22,32900
394,8,163.0,2023-12-26,9.81,46,34200
395,8,149.0,2023-08-16,5.54,24,21300
396,8,3.0,2023-06-09,9.94,41,34500
397,8,28.0,2023-10-09,5.78,19,22400
398,8,46.0,2023-06-17,3.95,18,16600
399,8,37.0,2023-01-29,7.03,18,26400
400,8,177.0,2023-04-26,2.31,10,12200
401,8,32.0,2023-08-05,1.98,9,11100
402,8,96.0,2023-01-18,3.71,12,16000
403,8,26.0,2023-05-03,1.05,4,7600
404,8,55.0,2023-09-11,3.15,9,14900
405,8,55.0,2023-03-19,3.46,11,14800
406,8,36.0,2023-11-28,6.07,18,22800
407,8,12.0,2023-05-15,9.34,24,32600
408,8,112.0,2023-08-24,9.15,35,32300
409,8,147.0,2023-01-04,6.8,33,24900
410,8,22.0,2023-03-26,8.24,37,29700
411,8,12.0,2023-05-14,7.0,17,26400
412,8,54.0,2023-10-17,6.77,24,25800
413,8,,2023-11-11,3.84,14,16700
414,8,65.0,2023-01-29,2.52,11,12800
415,8,146.0,2023-02-07,7.67,26,27700
416,8,177.0,2023-09-17,6.71,14,25100
417,8,36.0,2023-05-22,7.12,35,26700
418,8,154.0,2023-08-08,2.06,9,11500
419,8,130.0,2023-10-03,7.3,17,27000
420,8,82.0,2023-12-24,5.61,26,21700
421,8,60.0,2023-02-15,7.57,25,27700
422,8,133.0,2023-12-03,1.03,3,8300
423,8,136.0,2023-10-21,2.28,11,11700
424,8,140.0,2023-03-23,6.23,12,23700
425,8,34.0,2023-10-07,4.92,18,19900
426,8,96.0,2023-10-27,1.21,4,8200
427,8,10.0,2023-03-28,1.99,9,10500
428,8,144.0,2023-01-30,1.92,8,10900
429,8,146.0,2023-11-23,2.39,8,11600
430,8,18.0,2023-10-03,3.84,10,16700
431,8,165.0,2023-04-18,4.87,12,19300
432,8,140.0,2023-11-26,3.17,9,14000
433,8,115.0,2023-10-07,3.05,6,14500
434,8,100.0,2023-03-03,5.76,13,21700
435,8,62.0,2023-07-03,1.57,3,9600
436,8,83.0,2023-12-18,3.55,14,15700
437,8,43.0,2023-11-18,8.97,38,31700
438,8,66.0,2023-01-15,3.75,18,16500
439,8,38.0,2023-06-25,4.46,9,18300
440,8,49.0,2023-08-14,8.49,20,29900
441,8,150.0,2023-08-16,4.07,14,17700
442,8,26.0,2023-08-07,5.7,24,22200
443,8,25.0,2023-02-27,6.91,32,26000
444,8,30.0,2023-02-11,5.04,22,20300
445,8,178.0,2023-10-24,2.32,5,11800
446,8,20.0,2023-04-04,4.54,18,18900
447,9,51.0,2023-08-09,4.86,16,19000
448,9,151.0,2023-09-28,1.34,5,8800
449,9,147.0,2023-04-25,7.1,23,26000
450,9,119.0,2023-05-03,9.93,27,34500
451,9,51.0,2023-12-14,2.85,10,13100
452,9,106.0,2023-10-02,9.69,36,34100
453,9,134.0,2023-02-08,7.11,19,26700
454,9,41.0,2023-05-11,8.46,18,30200
455,9,42.0,2023-11-20,8.89,27,32100
456,9,,2023-10-26,6.36,30,23800
457,9,65.0,2023-12-01,8.73,24,31600
458,9,126.0,2023-04-22,6.84,32,25500
459,9,16.0,2023-02-13,8.33,23,29800
460,9,154.0,2023-01-14,8.24,27,29700
461,9,77.0,2023-03-29,2.31,6,11800
462,9,74.0,2023-12-08,9.52,26,33600
463,9,52.0,2023-06-03,3.61,8,15400
464,9,138.0,2023-06-16,6.73,30,25400
465,9,148.0,2023-06-11,9.37,37,33300
466,9,171.0,2023-09-14,2.19,4,12000
467,9,116.0,2023-03-27,5.48,25,21800
468,9,149.0,2023-06-07,5.16,20,20500
469,9,44.0,2023-03-13,3.67,16,15900
470,9,9.0,2023-08-17,8.24,19,29200
471,9,126.0,2023-12-19,6.29,13,23700
472,9,124.0,2023-05-23,7.62,32,28300
473,9,,2023-03-27,7.6,20,27800
474,9,180.0,2023-12-19,8.62,33,30800
475,9,132.0,2023-06-23,2.99,6,13600
476,9,135.0,2023-01-29,8.44,22,30300
477,9,68.0,2023-01-08,3.52,13,15700
478,9,64.0,2023-11-29,9.01,43,31600
479,9,114.0,2023-02-17,2.57,8,12700
480,9,20.0,2023-10-30,9.46,21,33000
481,9,26.0,2023-10-27,9.13,24,32400
482,9,87.0,2023-06-15,2.34,4,11700
483,9,195.0,2023-07-18,9.03,30,31800
484,9,174.0,2023-02-02,1.37,5,9100
485,9,181.0,2023-10-02,5.61,21,22100
486,9,138.0,2023-09-23,5.07,10,20300
487,9,11.0,2023-01-25,3.28,8,14700
488,9,171.0,2023-12-15,7.32,22,26400
489,10,145.0,2023-01-04,1.8,7,10900
490,10,130.0,2023-12-29,4.6,20,18700
491,10,30.0,2023-02-18,6.8,13,25800
492,10,151.0,2023-07-08,9.55,45,33400
493,10,185.0,2023-06-08,1.96,3,10900
494,10,45.0,2023-08-04,9.05,40,31900
495,10,119.0,2023-03-16,7.49,27,27900
496,10,19.0,2023-04-21,3.08,10,14600
497,10,182.0,2023-10-23,3.28,13,15000
498,10,32.0,2023-09-15,3.55,10,15500
499,10,25.0,2023-09-11,6.27,15,23700
500,10,32.0,2023-10-16,5.6,19,21900
501,10,180.0,2023-06-03,9.29,23,33200
502,10,99.0,2023-11-29,8.5,30,30700
503,10,102.0,2023-09-07,7.66,32,28200
504,10,28.0,2023-07-23,6.11,14,23500
505,10,25.0,2023-11-29,3.39,9,14800
506,10,139.0,2023-05-31,1.1,3,7800
507,10,72.0,2023-08-15,8.97,32,31800
508,10,81.0,2023-01-02,4.36,17,17500
509,10,132.0,2023-07-04,8.24,33,29600
510,10,20.0,2023-09-18,2.0,8,11000
511,10,,2023-04-01,8.04,38,28900
512,10,76.0,2023-04-18,1.56,5,9800
513,10,82.0,2023-09-06,1.34,5,8700
514,10,121.0,2023-05-01,5.2,21,20600
515,10,79.0,2023-09-03,4.33,15,18300
516,10,46.0,2023-08-25,3.54,10,15700
517,10,158.0,2023-06-02,6.55,19,24800
518,10,183.0,2023-03-18,1.2,4,8300
519,10,77.0,2023-07-21,3.78,12,15900
520,10,27.0,2023-07-06,8.07,16,29100
521,10,194.0,2023-04-14,4.79,14,19700
522,10,,2023-12-20,8.59,37,30400
523,10,105.0,2023-12-29,1.53,7,9400
524,10,83.0,2023-11-21,2.35,8,12400
525,10,38.0,2023-11-27,1.11,2,8300
526,10,,2023-02-28,9.71,30,34200
527,10,143.0,2023-11-20,5.74,11,22200
528,10,34.0,2023-03-28,8.27,29,29700
529,10,19.0,2023-03-13,5.96,12,22800
530,10,71.0,2023-06-01,5.55,13,21500
531,10,177.0,2023-05-28,8.95,26,31300
532,10,157.0,2023-02-23,3.88,15,17100
533,10,190.0,2023-07-30,8.99,29,32200
534,10,28.0,2023-02-18,7.44,15,27800
535,10,179.0,2023-11-04,8.01,22,29100
536,10,155.0,2023-05-25,2.43,5,12300
537,10,31.0,2023-03-30,9.33,30,32500
538,10,,2023-03-06,2.33,5,11600
539,10,117.0,2023-09-24,8.25,24,29200
540,10,67.0,2023-04-07,9.22,44,33000
541,10,143.0,2023-11-23,5.04,15,20300
542,10,72.0,2023-11-08,7.36,24,26900
543,10,123.0,2023-09-05,4.58,21,18900
544,10,178.0,2023-03-07,6.24,14,23800
545,10,138.0,2023-05-04,3.95,18,17100
546,10,194.0,2023-08-18,9.92,21,35000
547,10,160.0,2023-12-04,6.34,27,23800
548,10,19.0,2023-06-08,8.39,32,30500
549,10,120.0,2023-01-14,9.58,33,33600
550,10,44.0,2023-06-06,7.8,21,28500
551,10,103.0,2023-05-09,1.7,7,9700
552,10,102.0,2023-04-03,7.49,17,27300
553,10,128.0,2023-12-24,10.0,31,35300
554,10,69.0,2023-12-01,3.4,9,15400
555,10,,2023-07-21,8.25,27,29300
556,10,42.0,2023-11-09,9.16,20,32200
557,10,115.0,2023-01-04,3.36,10,15100
558,10,166.0,2023-02-23,2.92,10,13500
559,10,181.0,2023-09-02,9.19,42,32900
560,10,113.0,2023-05-29,3.51,16,16000
561,10,137.0,2023-07-08,8.26,32,29600
562,10,155.0,2023-02-24,3.12,13,14600
563,10,39.0,2023-04-08,9.97,24,34900
564,10,187.0,2023-08-02,8.89,25,31400
565,10,121.0,2023-12-28,6.28,30,23400
566,11,91.0,2023-09-26,8.14,17,29100
567,11,78.0,2023-11-24,2.52,9,12100
568,11,145.0,2023-04-09,8.4,18,30000
569,11,78.0,2023-08-27,7.5,19,27600
570,11,12.0,2023-11-04,9.03,41,31800
571,11,26.0,2023-11-21,5.12,24,20600
572,11,30.0,2023-07-26,1.03,3,7900
573,11,193.0,2023-11-27,4.19,20,17800
574,11,131.0,2023-01-22,7.99,36,29200
575,11,64.0,2023-05-21,6.29,12,24000
576,11,133.0,2023-04-18,2.62,11,12700
577,11,56.0,2023-06-14,5.83,19,21900
578,11,183.0,2023-05-12,6.19,15,24000
579,11,165.0,2023-10-07,4.33,18,18100
580,11,183.0,2023-11-08,8.98,19,32300
581,11,54.0,2023-08-29,5.39,25,20600
582,11,174.0,2023-01-13,6.55,21,24500
583,11,29.0,2023-06-12,9.64,23,33900
584,11,159.0,2023-08-31,7.13,23,26800
